u,i,label_u,label_name_u,label_i,label_name_i,ts,idx
8584,9143,1,Food,1,Food,347245227.0,35
11165,476,2,Shopping,0,Restaurants,347245876.0,36
3758,32,0,Restaurants,0,Restaurants,347248419.0,37
3949,7396,0,Restaurants,1,Food,347248900.0,38
791,3949,1,Food,0,Restaurants,347249059.0,39
791,7396,1,Food,1,Food,347249059.0,40
6576,27,0,Restaurants,0,Restaurants,347250465.0,41
12117,1843,0,Restaurants,0,Restaurants,347250478.0,42
11040,8296,0,Restaurants,0,Restaurants,347251964.0,43
3847,1860,0,Restaurants,1,Food,347252027.0,44
186,9143,0,Restaurants,1,Food,347252645.0,45
186,8584,0,Restaurants,1,Food,347252645.0,46
2925,2458,0,Restaurants,0,Restaurants,347252773.0,47
6032,15589,0,Restaurants,0,Restaurants,347252822.0,48
279,2458,1,Food,0,Restaurants,347253003.0,49
279,2925,1,Food,0,Restaurants,347253003.0,50
2964,279,0,Restaurants,1,Food,347253245.0,51
2964,2458,0,Restaurants,0,Restaurants,347253245.0,52
2964,2925,0,Restaurants,0,Restaurants,347253245.0,53
2652,279,0,Restaurants,1,Food,347253719.0,54
2652,2458,0,Restaurants,0,Restaurants,347253719.0,55
2652,2925,0,Restaurants,0,Restaurants,347253719.0,56
2652,2964,0,Restaurants,0,Restaurants,347253719.0,57
7660,10265,0,Restaurants,1,Food,347255469.0,58
2910,5491,0,Restaurants,1,Food,347255503.0,59
14271,2876,0,Restaurants,0,Restaurants,347256774.0,60
10030,13012,1,Food,0,Restaurants,347258538.0,61
983,8785,0,Restaurants,0,Restaurants,347259373.0,62
629,12693,0,Restaurants,0,Restaurants,347260654.0,63
12816,8011,0,Restaurants,0,Restaurants,347260944.0,64
9636,3854,0,Restaurants,0,Restaurants,347261321.0,65
3361,10751,0,Restaurants,1,Food,347263434.0,66
7624,11017,0,Restaurants,0,Restaurants,347265758.0,67
10445,11017,2,Shopping,0,Restaurants,347266182.0,68
10445,7624,2,Shopping,0,Restaurants,347266182.0,69
15280,10445,1,Food,2,Shopping,347267024.0,70
15280,11017,1,Food,0,Restaurants,347267024.0,71
15280,7624,1,Food,0,Restaurants,347267024.0,72
10483,15280,1,Food,1,Food,347267481.0,73
10483,7624,1,Food,0,Restaurants,347267481.0,74
10483,10445,1,Food,2,Shopping,347267481.0,75
10483,11017,1,Food,0,Restaurants,347267481.0,76
12556,7656,1,Food,0,Restaurants,347268239.0,77
13338,7656,1,Food,0,Restaurants,347268446.0,78
13338,12556,1,Food,1,Food,347268446.0,79
12529,5427,0,Restaurants,0,Restaurants,347269655.0,80
15389,365,0,Restaurants,0,Restaurants,347270009.0,81
228,12529,0,Restaurants,0,Restaurants,347270827.0,82
228,5427,0,Restaurants,0,Restaurants,347270827.0,83
3907,12529,0,Restaurants,0,Restaurants,347271570.0,84
3907,228,0,Restaurants,0,Restaurants,347271570.0,85
3907,5427,0,Restaurants,0,Restaurants,347271570.0,86
2654,8849,0,Restaurants,0,Restaurants,347276723.0,87
13019,5168,2,Shopping,0,Restaurants,347292220.0,88
2893,7617,0,Restaurants,0,Restaurants,347292558.0,89
256,4796,0,Restaurants,0,Restaurants,347295716.0,90
10,15606,1,Food,0,Restaurants,347296247.0,91
1992,12324,0,Restaurants,0,Restaurants,347297888.0,92
1782,14572,0,Restaurants,0,Restaurants,347301438.0,93
8814,4690,0,Restaurants,0,Restaurants,347301593.0,94
2328,4690,0,Restaurants,0,Restaurants,347301720.0,95
2328,8814,0,Restaurants,0,Restaurants,347301720.0,96
2531,4690,0,Restaurants,0,Restaurants,347302286.0,97
2531,2328,0,Restaurants,0,Restaurants,347302286.0,98
2531,8814,0,Restaurants,0,Restaurants,347302286.0,99
6504,11369,0,Restaurants,0,Restaurants,347302303.0,100
511,4690,1,Food,0,Restaurants,347302533.0,101
511,2531,1,Food,0,Restaurants,347302533.0,102
511,2328,1,Food,0,Restaurants,347302533.0,103
511,8814,1,Food,0,Restaurants,347302533.0,104
13814,14012,2,Shopping,2,Shopping,347304528.0,105
1295,8701,0,Restaurants,0,Restaurants,347304577.0,106
7855,511,0,Restaurants,1,Food,347304792.0,107
7855,4690,0,Restaurants,0,Restaurants,347304792.0,108
7855,2531,0,Restaurants,0,Restaurants,347304792.0,109
7855,2328,0,Restaurants,0,Restaurants,347304792.0,110
7855,8814,0,Restaurants,0,Restaurants,347304792.0,111
9772,8701,0,Restaurants,0,Restaurants,347304852.0,112
9772,1295,0,Restaurants,0,Restaurants,347304852.0,113
580,4309,1,Food,2,Shopping,347305514.0,114
13433,13839,0,Restaurants,0,Restaurants,347307066.0,115
13627,580,2,Shopping,1,Food,347307596.0,116
13627,4309,2,Shopping,2,Shopping,347307596.0,117
9771,7344,1,Food,0,Restaurants,347307991.0,118
3359,9771,2,Shopping,1,Food,347308631.0,119
3359,7344,2,Shopping,0,Restaurants,347308631.0,120
12810,580,2,Shopping,1,Food,347309130.0,121
12810,13627,2,Shopping,2,Shopping,347309130.0,122
12810,4309,2,Shopping,2,Shopping,347309130.0,123
5323,14340,1,Food,1,Food,347309256.0,124
4631,335,0,Restaurants,0,Restaurants,347309304.0,125
8352,9771,2,Shopping,1,Food,347309319.0,126
8352,7344,2,Shopping,0,Restaurants,347309319.0,127
8352,3359,2,Shopping,2,Shopping,347309319.0,128
7741,2441,0,Restaurants,0,Restaurants,347309781.0,129
11218,12810,2,Shopping,2,Shopping,347310119.0,130
11218,4309,2,Shopping,2,Shopping,347310119.0,131
11218,13627,2,Shopping,2,Shopping,347310119.0,132
11218,580,2,Shopping,1,Food,347310119.0,133
13713,12810,0,Restaurants,2,Shopping,347310529.0,134
13713,11218,0,Restaurants,2,Shopping,347310529.0,135
13713,4309,0,Restaurants,2,Shopping,347310529.0,136
13713,13627,0,Restaurants,2,Shopping,347310529.0,137
13713,580,0,Restaurants,1,Food,347310529.0,138
7462,12810,2,Shopping,2,Shopping,347310628.0,139
7462,11218,2,Shopping,2,Shopping,347310628.0,140
7462,4309,2,Shopping,2,Shopping,347310628.0,141
7462,13713,2,Shopping,0,Restaurants,347310628.0,142
7462,13627,2,Shopping,2,Shopping,347310628.0,143
7462,580,2,Shopping,1,Food,347310628.0,144
998,3854,0,Restaurants,0,Restaurants,347311483.0,145
998,9636,0,Restaurants,0,Restaurants,347311483.0,146
6787,7311,0,Restaurants,1,Food,347312075.0,147
13344,6337,0,Restaurants,1,Food,347312211.0,148
12532,2294,1,Food,0,Restaurants,347312345.0,149
8033,511,0,Restaurants,1,Food,347312590.0,150
8033,4690,0,Restaurants,0,Restaurants,347312590.0,151
8033,2531,0,Restaurants,0,Restaurants,347312590.0,152
8033,8814,0,Restaurants,0,Restaurants,347312590.0,153
8033,7855,0,Restaurants,0,Restaurants,347312590.0,154
8033,2328,0,Restaurants,0,Restaurants,347312590.0,155
8464,511,0,Restaurants,1,Food,347313307.0,156
8464,7855,0,Restaurants,0,Restaurants,347313307.0,157
8464,8033,0,Restaurants,0,Restaurants,347313307.0,158
8464,4690,0,Restaurants,0,Restaurants,347313307.0,159
8464,2531,0,Restaurants,0,Restaurants,347313307.0,160
8464,2328,0,Restaurants,0,Restaurants,347313307.0,161
8464,8814,0,Restaurants,0,Restaurants,347313307.0,162
8103,13474,0,Restaurants,0,Restaurants,347315253.0,163
998,3349,0,Restaurants,0,Restaurants,347316068.0,164
8407,2654,0,Restaurants,0,Restaurants,347318559.0,165
8407,8849,0,Restaurants,0,Restaurants,347318559.0,166
9629,5806,2,Shopping,2,Shopping,347318634.0,167
467,14872,2,Shopping,0,Restaurants,347318818.0,168
7041,12273,0,Restaurants,0,Restaurants,347319604.0,169
2203,3854,0,Restaurants,0,Restaurants,347320226.0,170
2203,998,0,Restaurants,0,Restaurants,347320226.0,171
2203,9636,0,Restaurants,0,Restaurants,347320226.0,172
14337,11812,0,Restaurants,0,Restaurants,347320592.0,173
8427,3236,0,Restaurants,0,Restaurants,347320803.0,174
1958,11812,0,Restaurants,0,Restaurants,347321207.0,175
3624,2203,0,Restaurants,0,Restaurants,347321748.0,176
3624,998,0,Restaurants,0,Restaurants,347321748.0,177
3624,3854,0,Restaurants,0,Restaurants,347321748.0,178
3624,9636,0,Restaurants,0,Restaurants,347321748.0,179
220,14065,1,Food,0,Restaurants,347322162.0,180
8110,8786,1,Food,0,Restaurants,347323416.0,181
5356,8465,0,Restaurants,0,Restaurants,347323427.0,182
8248,15280,1,Food,1,Food,347323951.0,183
8248,7624,1,Food,0,Restaurants,347323951.0,184
8248,10445,1,Food,2,Shopping,347323951.0,185
8248,11017,1,Food,0,Restaurants,347323951.0,186
8248,10483,1,Food,1,Food,347323951.0,187
5503,13268,2,Shopping,0,Restaurants,347325555.0,188
9313,8175,0,Restaurants,0,Restaurants,347328069.0,189
8766,8175,1,Food,0,Restaurants,347329221.0,190
8766,9313,1,Food,0,Restaurants,347329221.0,191
9466,11210,0,Restaurants,0,Restaurants,347329735.0,192
4463,7808,0,Restaurants,1,Food,347330598.0,193
14907,7808,1,Food,1,Food,347332155.0,194
14907,4463,1,Food,0,Restaurants,347332155.0,195
7193,511,0,Restaurants,1,Food,347332370.0,196
7193,7855,0,Restaurants,0,Restaurants,347332370.0,197
7193,8033,0,Restaurants,0,Restaurants,347332370.0,198
7193,4690,0,Restaurants,0,Restaurants,347332370.0,199
7193,2531,0,Restaurants,0,Restaurants,347332370.0,200
7193,8464,0,Restaurants,0,Restaurants,347332370.0,201
7193,2328,0,Restaurants,0,Restaurants,347332370.0,202
7193,8814,0,Restaurants,0,Restaurants,347332370.0,203
13477,15551,1,Food,2,Shopping,347332681.0,204
1664,511,0,Restaurants,1,Food,347332799.0,205
1664,7855,0,Restaurants,0,Restaurants,347332799.0,206
1664,8033,0,Restaurants,0,Restaurants,347332799.0,207
1664,4690,0,Restaurants,0,Restaurants,347332799.0,208
1664,2531,0,Restaurants,0,Restaurants,347332799.0,209
1664,8464,0,Restaurants,0,Restaurants,347332799.0,210
1664,2328,0,Restaurants,0,Restaurants,347332799.0,211
1664,8814,0,Restaurants,0,Restaurants,347332799.0,212
1664,7193,0,Restaurants,0,Restaurants,347332799.0,213
14898,7808,0,Restaurants,1,Food,347332878.0,214
14898,14907,0,Restaurants,1,Food,347332878.0,215
14898,4463,0,Restaurants,0,Restaurants,347332878.0,216
1222,14907,0,Restaurants,1,Food,347333084.0,217
1222,7808,0,Restaurants,1,Food,347333084.0,218
1222,4463,0,Restaurants,0,Restaurants,347333084.0,219
1222,14898,0,Restaurants,0,Restaurants,347333084.0,220
11077,511,0,Restaurants,1,Food,347333110.0,221
11077,1664,0,Restaurants,0,Restaurants,347333110.0,222
11077,7855,0,Restaurants,0,Restaurants,347333110.0,223
11077,8033,0,Restaurants,0,Restaurants,347333110.0,224
11077,4690,0,Restaurants,0,Restaurants,347333110.0,225
11077,2531,0,Restaurants,0,Restaurants,347333110.0,226
11077,8464,0,Restaurants,0,Restaurants,347333110.0,227
11077,2328,0,Restaurants,0,Restaurants,347333110.0,228
11077,8814,0,Restaurants,0,Restaurants,347333110.0,229
11077,7193,0,Restaurants,0,Restaurants,347333110.0,230
620,15551,1,Food,2,Shopping,347333135.0,231
620,13477,1,Food,1,Food,347333135.0,232
130,14907,0,Restaurants,1,Food,347333137.0,233
130,4463,0,Restaurants,0,Restaurants,347333137.0,234
130,7808,0,Restaurants,1,Food,347333137.0,235
130,14898,0,Restaurants,0,Restaurants,347333137.0,236
130,1222,0,Restaurants,0,Restaurants,347333137.0,237
5668,8259,0,Restaurants,1,Food,347333258.0,238
14035,14907,0,Restaurants,1,Food,347333433.0,239
14035,4463,0,Restaurants,0,Restaurants,347333433.0,240
14035,7808,0,Restaurants,1,Food,347333433.0,241
14035,130,0,Restaurants,0,Restaurants,347333433.0,242
14035,14898,0,Restaurants,0,Restaurants,347333433.0,243
14035,1222,0,Restaurants,0,Restaurants,347333433.0,244
4241,14907,1,Food,1,Food,347333756.0,245
4241,130,1,Food,0,Restaurants,347333756.0,246
4241,14898,1,Food,0,Restaurants,347333756.0,247
4241,14035,1,Food,0,Restaurants,347333756.0,248
4241,1222,1,Food,0,Restaurants,347333756.0,249
4241,7808,1,Food,1,Food,347333756.0,250
4241,4463,1,Food,0,Restaurants,347333756.0,251
2388,10325,0,Restaurants,2,Shopping,347334058.0,252
8458,14907,1,Food,1,Food,347334259.0,253
8458,130,1,Food,0,Restaurants,347334259.0,254
8458,14898,1,Food,0,Restaurants,347334259.0,255
8458,14035,1,Food,0,Restaurants,347334259.0,256
8458,1222,1,Food,0,Restaurants,347334259.0,257
8458,4241,1,Food,1,Food,347334259.0,258
8458,7808,1,Food,1,Food,347334259.0,259
8458,4463,1,Food,0,Restaurants,347334259.0,260
11666,14907,0,Restaurants,1,Food,347334342.0,261
11666,130,0,Restaurants,0,Restaurants,347334342.0,262
11666,14898,0,Restaurants,0,Restaurants,347334342.0,263
11666,14035,0,Restaurants,0,Restaurants,347334342.0,264
11666,1222,0,Restaurants,0,Restaurants,347334342.0,265
11666,8458,0,Restaurants,1,Food,347334342.0,266
11666,4241,0,Restaurants,1,Food,347334342.0,267
11666,7808,0,Restaurants,1,Food,347334342.0,268
11666,4463,0,Restaurants,0,Restaurants,347334342.0,269
8163,6258,1,Food,0,Restaurants,347334598.0,270
8118,14907,1,Food,1,Food,347334866.0,271
8118,130,1,Food,0,Restaurants,347334866.0,272
8118,14898,1,Food,0,Restaurants,347334866.0,273
8118,11666,1,Food,0,Restaurants,347334866.0,274
8118,14035,1,Food,0,Restaurants,347334866.0,275
8118,1222,1,Food,0,Restaurants,347334866.0,276
8118,8458,1,Food,1,Food,347334866.0,277
8118,4241,1,Food,1,Food,347334866.0,278
8118,7808,1,Food,1,Food,347334866.0,279
8118,4463,1,Food,0,Restaurants,347334866.0,280
5811,14907,0,Restaurants,1,Food,347334954.0,281
5811,130,0,Restaurants,0,Restaurants,347334954.0,282
5811,14898,0,Restaurants,0,Restaurants,347334954.0,283
5811,11666,0,Restaurants,0,Restaurants,347334954.0,284
5811,14035,0,Restaurants,0,Restaurants,347334954.0,285
5811,1222,0,Restaurants,0,Restaurants,347334954.0,286
5811,8458,0,Restaurants,1,Food,347334954.0,287
5811,4241,0,Restaurants,1,Food,347334954.0,288
5811,8118,0,Restaurants,1,Food,347334954.0,289
5811,7808,0,Restaurants,1,Food,347334954.0,290
5811,4463,0,Restaurants,0,Restaurants,347334954.0,291
7367,3405,1,Food,1,Food,347335060.0,292
8282,14907,1,Food,1,Food,347335227.0,293
8282,130,1,Food,0,Restaurants,347335227.0,294
8282,14898,1,Food,0,Restaurants,347335227.0,295
8282,11666,1,Food,0,Restaurants,347335227.0,296
8282,14035,1,Food,0,Restaurants,347335227.0,297
8282,1222,1,Food,0,Restaurants,347335227.0,298
8282,8458,1,Food,1,Food,347335227.0,299
8282,4241,1,Food,1,Food,347335227.0,300
8282,8118,1,Food,1,Food,347335227.0,301
8282,7808,1,Food,1,Food,347335227.0,302
8282,5811,1,Food,0,Restaurants,347335227.0,303
8282,4463,1,Food,0,Restaurants,347335227.0,304
2902,14907,1,Food,1,Food,347335562.0,305
2902,130,1,Food,0,Restaurants,347335562.0,306
2902,14898,1,Food,0,Restaurants,347335562.0,307
2902,11666,1,Food,0,Restaurants,347335562.0,308
2902,14035,1,Food,0,Restaurants,347335562.0,309
2902,1222,1,Food,0,Restaurants,347335562.0,310
2902,8458,1,Food,1,Food,347335562.0,311
2902,8282,1,Food,1,Food,347335562.0,312
2902,4241,1,Food,1,Food,347335562.0,313
2902,8118,1,Food,1,Food,347335562.0,314
2902,7808,1,Food,1,Food,347335562.0,315
2902,5811,1,Food,0,Restaurants,347335562.0,316
2902,4463,1,Food,0,Restaurants,347335562.0,317
11746,14907,1,Food,1,Food,347335649.0,318
11746,130,1,Food,0,Restaurants,347335649.0,319
11746,14898,1,Food,0,Restaurants,347335649.0,320
11746,11666,1,Food,0,Restaurants,347335649.0,321
11746,14035,1,Food,0,Restaurants,347335649.0,322
11746,1222,1,Food,0,Restaurants,347335649.0,323
11746,8458,1,Food,1,Food,347335649.0,324
11746,8282,1,Food,1,Food,347335649.0,325
11746,4241,1,Food,1,Food,347335649.0,326
11746,8118,1,Food,1,Food,347335649.0,327
11746,7808,1,Food,1,Food,347335649.0,328
11746,2902,1,Food,1,Food,347335649.0,329
11746,5811,1,Food,0,Restaurants,347335649.0,330
11746,4463,1,Food,0,Restaurants,347335649.0,331
7726,4720,0,Restaurants,2,Shopping,347336109.0,332
13289,14907,0,Restaurants,1,Food,347336263.0,333
13289,14898,0,Restaurants,0,Restaurants,347336263.0,334
13289,14035,0,Restaurants,0,Restaurants,347336263.0,335
13289,8282,0,Restaurants,1,Food,347336263.0,336
13289,4241,0,Restaurants,1,Food,347336263.0,337
13289,7808,0,Restaurants,1,Food,347336263.0,338
13289,5811,0,Restaurants,0,Restaurants,347336263.0,339
13289,4463,0,Restaurants,0,Restaurants,347336263.0,340
13289,130,0,Restaurants,0,Restaurants,347336263.0,341
13289,11666,0,Restaurants,0,Restaurants,347336263.0,342
13289,1222,0,Restaurants,0,Restaurants,347336263.0,343
13289,8118,0,Restaurants,1,Food,347336263.0,344
13289,8458,0,Restaurants,1,Food,347336263.0,345
13289,2902,0,Restaurants,1,Food,347336263.0,346
13289,11746,0,Restaurants,1,Food,347336263.0,347
14625,14907,1,Food,1,Food,347336369.0,348
14625,14898,1,Food,0,Restaurants,347336369.0,349
14625,14035,1,Food,0,Restaurants,347336369.0,350
14625,8282,1,Food,1,Food,347336369.0,351
14625,4241,1,Food,1,Food,347336369.0,352
14625,7808,1,Food,1,Food,347336369.0,353
14625,5811,1,Food,0,Restaurants,347336369.0,354
14625,4463,1,Food,0,Restaurants,347336369.0,355
14625,130,1,Food,0,Restaurants,347336369.0,356
14625,13289,1,Food,0,Restaurants,347336369.0,357
14625,11666,1,Food,0,Restaurants,347336369.0,358
14625,1222,1,Food,0,Restaurants,347336369.0,359
14625,8118,1,Food,1,Food,347336369.0,360
14625,8458,1,Food,1,Food,347336369.0,361
14625,2902,1,Food,1,Food,347336369.0,362
14625,11746,1,Food,1,Food,347336369.0,363
2433,4720,2,Shopping,2,Shopping,347336535.0,364
2433,7726,2,Shopping,0,Restaurants,347336535.0,365
11812,9362,0,Restaurants,0,Restaurants,347336732.0,366
3034,10697,0,Restaurants,0,Restaurants,347336804.0,367
15599,6415,1,Food,0,Restaurants,347336884.0,368
377,3847,0,Restaurants,0,Restaurants,347337352.0,369
377,1860,0,Restaurants,1,Food,347337352.0,370
11832,4720,2,Shopping,2,Shopping,347337569.0,371
11832,7726,2,Shopping,0,Restaurants,347337569.0,372
11832,2433,2,Shopping,2,Shopping,347337569.0,373
3619,9059,0,Restaurants,0,Restaurants,347337621.0,374
8125,7726,1,Food,0,Restaurants,347337731.0,375
8125,2433,1,Food,2,Shopping,347337731.0,376
8125,4720,1,Food,2,Shopping,347337731.0,377
8125,11832,1,Food,2,Shopping,347337731.0,378
8154,3619,0,Restaurants,0,Restaurants,347338446.0,379
8154,9059,0,Restaurants,0,Restaurants,347338446.0,380
13155,8151,0,Restaurants,0,Restaurants,347339136.0,381
8303,3335,1,Food,1,Food,347339320.0,382
1212,8766,2,Shopping,1,Food,347342044.0,383
1212,8175,2,Shopping,0,Restaurants,347342044.0,384
1212,9313,2,Shopping,0,Restaurants,347342044.0,385
2273,3262,1,Food,0,Restaurants,347343252.0,386
5991,8391,1,Food,0,Restaurants,347344345.0,387
10688,8766,1,Food,1,Food,347344400.0,388
10688,1212,1,Food,2,Shopping,347344400.0,389
10688,9313,1,Food,0,Restaurants,347344400.0,390
10688,8175,1,Food,0,Restaurants,347344400.0,391
14954,12507,1,Food,0,Restaurants,347344633.0,392
1172,14954,0,Restaurants,1,Food,347345034.0,393
1172,12507,0,Restaurants,0,Restaurants,347345034.0,394
7107,11158,0,Restaurants,0,Restaurants,347346069.0,395
14748,12795,0,Restaurants,0,Restaurants,347347864.0,396
6984,14748,0,Restaurants,0,Restaurants,347348214.0,397
6984,12795,0,Restaurants,0,Restaurants,347348214.0,398
3074,15322,1,Food,1,Food,347348867.0,399
704,14907,0,Restaurants,1,Food,347349006.0,400
704,14898,0,Restaurants,0,Restaurants,347349006.0,401
704,14035,0,Restaurants,0,Restaurants,347349006.0,402
704,8282,0,Restaurants,1,Food,347349006.0,403
704,4241,0,Restaurants,1,Food,347349006.0,404
704,7808,0,Restaurants,1,Food,347349006.0,405
704,5811,0,Restaurants,0,Restaurants,347349006.0,406
704,4463,0,Restaurants,0,Restaurants,347349006.0,407
704,14625,0,Restaurants,1,Food,347349006.0,408
704,130,0,Restaurants,0,Restaurants,347349006.0,409
704,13289,0,Restaurants,0,Restaurants,347349006.0,410
704,11666,0,Restaurants,0,Restaurants,347349006.0,411
704,1222,0,Restaurants,0,Restaurants,347349006.0,412
704,8118,0,Restaurants,1,Food,347349006.0,413
704,8458,0,Restaurants,1,Food,347349006.0,414
704,2902,0,Restaurants,1,Food,347349006.0,415
704,11746,0,Restaurants,1,Food,347349006.0,416
14767,13800,0,Restaurants,0,Restaurants,347349080.0,417
4807,14907,1,Food,1,Food,347350154.0,418
4807,14898,1,Food,0,Restaurants,347350154.0,419
4807,14035,1,Food,0,Restaurants,347350154.0,420
4807,8282,1,Food,1,Food,347350154.0,421
4807,704,1,Food,0,Restaurants,347350154.0,422
4807,4241,1,Food,1,Food,347350154.0,423
4807,7808,1,Food,1,Food,347350154.0,424
4807,5811,1,Food,0,Restaurants,347350154.0,425
4807,4463,1,Food,0,Restaurants,347350154.0,426
4807,14625,1,Food,1,Food,347350154.0,427
4807,130,1,Food,0,Restaurants,347350154.0,428
4807,13289,1,Food,0,Restaurants,347350154.0,429
4807,11666,1,Food,0,Restaurants,347350154.0,430
4807,1222,1,Food,0,Restaurants,347350154.0,431
4807,8118,1,Food,1,Food,347350154.0,432
4807,8458,1,Food,1,Food,347350154.0,433
4807,2902,1,Food,1,Food,347350154.0,434
4807,11746,1,Food,1,Food,347350154.0,435
9390,14907,1,Food,1,Food,347350360.0,436
9390,14898,1,Food,0,Restaurants,347350360.0,437
9390,14035,1,Food,0,Restaurants,347350360.0,438
9390,8282,1,Food,1,Food,347350360.0,439
9390,704,1,Food,0,Restaurants,347350360.0,440
9390,4241,1,Food,1,Food,347350360.0,441
9390,7808,1,Food,1,Food,347350360.0,442
9390,5811,1,Food,0,Restaurants,347350360.0,443
9390,4463,1,Food,0,Restaurants,347350360.0,444
9390,14625,1,Food,1,Food,347350360.0,445
9390,130,1,Food,0,Restaurants,347350360.0,446
9390,13289,1,Food,0,Restaurants,347350360.0,447
9390,11666,1,Food,0,Restaurants,347350360.0,448
9390,4807,1,Food,1,Food,347350360.0,449
9390,1222,1,Food,0,Restaurants,347350360.0,450
9390,8118,1,Food,1,Food,347350360.0,451
9390,8458,1,Food,1,Food,347350360.0,452
9390,2902,1,Food,1,Food,347350360.0,453
9390,11746,1,Food,1,Food,347350360.0,454
6298,1052,2,Shopping,2,Shopping,347350772.0,455
13688,3240,2,Shopping,0,Restaurants,347350779.0,456
2851,14907,0,Restaurants,1,Food,347351620.0,457
2851,14898,0,Restaurants,0,Restaurants,347351620.0,458
2851,14035,0,Restaurants,0,Restaurants,347351620.0,459
2851,704,0,Restaurants,0,Restaurants,347351620.0,460
2851,8282,0,Restaurants,1,Food,347351620.0,461
2851,4241,0,Restaurants,1,Food,347351620.0,462
2851,7808,0,Restaurants,1,Food,347351620.0,463
2851,5811,0,Restaurants,0,Restaurants,347351620.0,464
2851,9390,0,Restaurants,1,Food,347351620.0,465
2851,4463,0,Restaurants,0,Restaurants,347351620.0,466
2851,14625,0,Restaurants,1,Food,347351620.0,467
2851,4807,0,Restaurants,1,Food,347351620.0,468
2851,13289,0,Restaurants,0,Restaurants,347351620.0,469
2851,130,0,Restaurants,0,Restaurants,347351620.0,470
2851,11666,0,Restaurants,0,Restaurants,347351620.0,471
2851,1222,0,Restaurants,0,Restaurants,347351620.0,472
2851,8118,0,Restaurants,1,Food,347351620.0,473
2851,8458,0,Restaurants,1,Food,347351620.0,474
2851,2902,0,Restaurants,1,Food,347351620.0,475
2851,11746,0,Restaurants,1,Food,347351620.0,476
7284,5356,0,Restaurants,0,Restaurants,347372931.0,477
1767,746,2,Shopping,0,Restaurants,347374114.0,478
8478,2910,2,Shopping,0,Restaurants,347377663.0,479
8478,5491,2,Shopping,1,Food,347377663.0,480
4537,11291,1,Food,1,Food,347379181.0,481
13048,2570,0,Restaurants,0,Restaurants,347380682.0,482
11452,5874,0,Restaurants,0,Restaurants,347380935.0,483
14009,5874,0,Restaurants,0,Restaurants,347381328.0,484
14009,11452,0,Restaurants,0,Restaurants,347381328.0,485
6923,511,1,Food,1,Food,347382108.0,486
6923,1664,1,Food,0,Restaurants,347382108.0,487
6923,11077,1,Food,0,Restaurants,347382108.0,488
6923,7855,1,Food,0,Restaurants,347382108.0,489
6923,8033,1,Food,0,Restaurants,347382108.0,490
6923,4690,1,Food,0,Restaurants,347382108.0,491
6923,2531,1,Food,0,Restaurants,347382108.0,492
6923,8464,1,Food,0,Restaurants,347382108.0,493
6923,2328,1,Food,0,Restaurants,347382108.0,494
6923,8814,1,Food,0,Restaurants,347382108.0,495
6923,7193,1,Food,0,Restaurants,347382108.0,496
326,10855,0,Restaurants,2,Shopping,347384342.0,497
1357,10855,0,Restaurants,2,Shopping,347386470.0,498
1357,326,0,Restaurants,0,Restaurants,347386470.0,499
400,783,1,Food,0,Restaurants,347386611.0,500
12037,1524,1,Food,1,Food,347386838.0,501
6859,12268,0,Restaurants,1,Food,347387569.0,502
6859,7450,0,Restaurants,0,Restaurants,347387569.0,503
10141,6379,1,Food,1,Food,347387711.0,504
